Title,Profile,Date,Rating,ProductSize,Verified_Purchase,Review
Disappointed for a flagship phone.,J. Canterbury,"November 5, 2021",1.0,,,"The edge display just gets in the way especially if you use apps that have buttons in that area and makes it difficult to use. About 3 months in the rear camera immediately looses focus so I have to put it on ultrawide to take a rear picture. My data keeps dropping and found out that it was an issue with the phone and not service. Also had a weird issue with bluetooth where the phone will connect to a bluetooth device but plays through the phone. Restarting fixes this issue but its an issue nonetheless. 11 months in my phone ""charges slowly"" even with the turbo charger. I'm super disappointed in this device and I probably won't buy another motorola.  This was supposed to be a gift for my wife last year but I got her an iphone instead. I'm glad I did because I would have heard about it until I bought her a new phone."
Muy buen teléfono,José A,"November 5, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,Estoy súper con mi nuevo teléfono
great phone,amy collupy,"November 4, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,works great so far easy to move information
Features Missing Because I Was Sold a 2020 Model,Phillip Randall,"November 3, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,Phone looks great at first until you try to connect it by USB c cable to a PC. Having a data usage problem with my Wi-fi I thought I would connect my Mororola Edge to my PC by just pluging in a data enabled USB c cable and letting Windows 10 install drivers. Motorola Edge requires special apps on both the PC and the phone. After hours with a less than knowledgeable customer service representative the PC part is installed. The phone app will not install so far. I am not looking forward to hours on the phone with a ignorant customer service rep tomorrow. Turns out after several calls to motorola customer service the 2020 model I was sold will not ever  use the larger screen on my laptop. Sorry I bought this obsolete phone in 2021. Caveat Emptor - Let the  buyer beware.
Don't buy it!,Brian,"October 27, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"My phone crapped out today. I purchased it in April 2021.After dealing with Motorola customer service, who clearly didn't understand that I couldn't go through the normal troubleshooting steps because my phone's screen literally no longer works, they advised that it'll take more than two weeks to send a replacement. They made the switch back to Samsung so much easier"
Great,viper,"October 24, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,So far im happy with it
Screen Not Working After 1 Year,George V,"October 22, 2021",2.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"The phone is overall ok - ok camera, battery life, and so on. But the screen has been giving me a lot of issues. I currently have a screen that is not physically damaged (no cracks), but the screen appears to be leaking from the inside (black blotch on the bottom left), the left side does not respond to touch, and the rest of the screen needs to be touched repeatedly to do anything.Not very happy with a $500 phone not working great after a year, so I would not buy again. Contacting Motorola to see if I can replace the phone, but the 12 month insurance ended a few month ago (sigh). We bought the Samsung S20 FE 5G for my wife once it came out, and her phone is better. Hope that helps!"
Does not allow calls over internet,Chuck,"October 21, 2021",2.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,Will not hook up calls on internet
Perfect daily phone,Lenny Nero,"September 29, 2021",5.0,Style: RAZR 5GColor: Blush Gold,Verified Purchase,"It's the phone I was waiting for ever since feature-phone foldables and original Razr.Sure it squeaks when opening, doesn't have active dual sim support (there is an eSim option besides a physical sim), there's no wireless charging, or top processor and 24 cameras on it... BUT, I rarely use the camera, only for photographing something in a store for a later purchase, things like that, and the simple fact of foldability, makes it s9 compact it fits into a front shirt pocket - very useful during the summer. Outer screen is great, half the time I use it, for messages, emails, notifications, music, calls. Battery actually lasts TWO days easily, if you don't use it much, three, like in the 'good old days'. And design is excellent, not just stupidly bent in half, like Samsung's Flip (and I did use Samsung for the past 14 years).I got the gold matte version, but thinking of getting another, maybe silver, if there's no new model coming.P.S. I've dropped it twice, first time hitting a metal shopping cart and falling to granite floor, second onto street brick - nothing broke or cracked, just some scratches. Past 'regular' phones I dropped like that, Note 3, etc, cracked the glass screen immediately."
A great idea on paper..A complicated disaster in real use.,NelsonA,"September 28, 2021",4.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"The input is done by rubbing the fingers across the screen which may or not work. Or this action will take you to the wrong screen.. A lot of time is wasted trying to get to the right place..nothing is simple . There are direct steps. Worse of all, making a call, or getting around all unwanted software and spam, is a challenge.It does require a lot of studying and memorization of all the steps need to do anything. Not user friendly, particularly for senior citizens used to pushing a dot , a square or an arrow to get anywhere."
Connect android to laptop.,none,"September 28, 2021",1.0,Style: RAZR 5GColor: Polished Graphite,Verified Purchase,Connect android to laptop for downloads and uploads fail. What a waste of money.
"Less than 1 year old,and quit Charging!!!!",Rose N.,"September 28, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"This piece of junk, won't charge Wirelessly,and this phone was expensive,but at less than 1 year old, won't hold a charge using the cord either."
Disappointed!,Christina Cobb,"September 20, 2021", 3.,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"I have had moto for a few years. I preferred the durability, camera and battery life. Mostly, moto play and z. I broke my last and ended up with a Samsung. Not a fan so I bought this edge. The camera isn't that great. Considering I use my gps for work the battery is ok, I only have to charge once a day. And I am not a fan of the actual ""edge"" screen. Overall decent phone but so disappointed in the camera. 😭"
Love this phone,Shelby Morgen,"September 11, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"Not 5G, according to my local Verizon retail store -- the same store that told be these WERE 5G when they wanted to sell me one for almost twice as much, right before they discovered they didn't have any in stock -- but it's a lot faster loading then my old phone, and I saved over $400 not buying it from the Verizon store. Does everything I need it to. I'm running off wi-fi most of the time anyway."
Screen issues deem this phone useless.,Mike,"September 10, 2021",2.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"I wanted to keep this phone so bad. I love all Motorola phones I've had in the past and my last Motorola lasted me 5 years! I was hoping this would be a great replacement. I actually loved the curved screen and all the features this phone provides. BUT, the screen would start leaving purple marks after 10 minutes of continuous screen time. When at the darkest setting, watching movies, the black shade colors would be giant pixels. The phone was updated with Android 11 and up to date and the screen issues persist so I had return it because I was not fully satisfied and feel this product would not last me for my desired ownership duration. Ended going with a Moto One 5g ACE."
Motorola RAZR Fits In My Vest Pocket,LARRY B. REED,"September 7, 2021",5.0,Style: RAZR 5GColor: Blush Gold,Verified Purchase,I love the style and 21st century features of this 5G smart phone.I can't wait for the 2022 model.
Design very good but I’ve got issues with it,Client d'Amazon,"September 3, 2021",2.0,Style: RAZR 5GColor: Polished Graphite,Verified Purchase,There’s a red patch appearing on my external screen right from day one and I’m onto day three now.Internal screen quality is poor. Too many bumps on the internal screen apart from the middle crease and makes noise while closing.
Unauthorized seller of Motorola and terrible support from Motorola,Erica Gualberto Pongelupe Giacoia,"August 31, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,The seller is not an unauthorized seller of Motorola. I had two problems with the phone and at the second time. Motorola was also terrible in handle the situation. I am extremely disappointed with Motorolla and I recommend Amazon to do not let unauthorized sellers sell products
Always make sure it's not refurbished,Krystal Adomaico,"August 30, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"I was able to use it for only 48 days and it stopped working, it was refurbished. Unfortunately for me Amazon couldn't exchange it for me because it was more than 30 days of purchase. Waste of my hard earned money. Be careful when buying. Please don't make the same mistake"
Phone is very nice but the battery not good think am going to return it.....,Sussana m.,"August 29, 2021",2.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,Battery sucks
My Brand New Phone Broke,Kindle Customer,"August 29, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"Literally fell off my nightstand and landed on carpet. I don't know how this ended in tragedy, but here I am with a broke phone. It was even in a case. Definitely not as sturdy as my last phone :("
Horrible Phone,Reagan Ward,"August 25, 2021",1.0,,,"The worst phone I have ever used. Screens crap, battery life is crap, everything about it is crap. I should have folded and finally got an iPhone instead."
THIS PHONE IS 100$ VALUE AS IF THE BATTARY WILL LIVE,Manar Ismail,"August 22, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"The battery doesn't last for a few months. It is completely died after 7 months although I don't use my phone a lot. it is just to read messages and emails. I don't use my phone to browse social media or do any task. Also, I had to charge it all night every day. now, the battery did not fully charge. Don't buy"
"Outstanding, exceptional, tremendously excellent...but flawed",Denny T.,"August 20, 2021", 4.,,,"I've had mine since Dec 2020. Absolutely fantastic phone! User interface is amazing. I love the swipe commands this phone offers.External screen is a battery saver. With the battery not being the strongest in the first place, using the external screen can balance it out.It would be better if an SD card could be put in it, and the camera needs to be improved, but the biggest flaw is that it CANNOT CHARGE WIRELESSLY. For as wonderful of a phone this is, it should have that feature.All in all if you like a well designed, compact phone. This is it."
Dont waste your money,Jamie,"August 18, 2021",1.0,Style: RAZR 5GColor: Polished Graphite,Verified Purchase,"Ive had to RMA this phone 4 times now for a plethora of random issues. First phone creaked insanely loud right out of the box, second phone a single line of pixels died right in the middle of the screen, third phone another block of pixels died, I havent received my 4th RMA yet but I can tell you one thing.. I'll NEVER be buying another Motorola phone again. Their RMA timeline is fine, its just pretty annoying as a customer to have to RMA your phone once a month. Look elsewhere (like Samsung Fold) if you're looking for a reliable foldable because this aint it. JUNK."
nice,Zoe,"August 16, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,Good phone
Touch Unresponsive after 1 MONTH!!!!????,Amazon Customer,"August 16, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,Had this phone for a month. Called my wife once will it was raining and now the phone doesn't touch. Great. Thanks for stealing 500$ away from me
Great phone!,Rebekah Lease,"August 13, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,Battery life is great. I have never ran out of juice. I don't change it every day. Photos are awesome! Good size and weight!
"Beware, buy the protections plan if you plan on buying this phone.",Nikos,"August 10, 2021",1.0,Style: RAZR 5GColor: Liquid Mercury,Verified Purchase,"Phone is cool, I love the look, but more of a conversational piece than a useful  phone. Photos are ""ok"" at best and wifi and cell service can be spotty sometimes.What ever you do if you purchase this phone, buy the protection plan. I broke the outside screen and was quoted $969 for a ""replacement/repair"" fee. At least with Apple they work with you if something happens with the phone with or with out a protection plan.For a phone that didnt gain much traction, you would think they would take care of the customers who purchased them. I guess I will be looking for a new phone."
Great Screen Protector,Gringo,"August 10, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,Protects my phone screen very good and fits with a case on.
Good,park ju sung,"August 8, 2021",5.0,Style: RAZR 5GColor: Polished Graphite,Verified Purchase,Good
Nice cell phone,Fred,"August 5, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,Classic style
Bad phone,jack himes,"August 5, 2021",2.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,The phone jumps around different apps and it keeps hanging up when I use Bluetooth in my vehicle sometimes I think it has its own mind
"My package arrived safely and the phone was a described, so cudos for the great service.",Francis M.,"August 4, 2021",4.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"I love the gaming capability, the screen and the design."
This phone is not repairable. Buy the replacement insurance.,Marvin J Smejkal,"July 31, 2021",2.0,Style: RAZR 5GColor: Blush Gold,Verified Purchase,"This phone is not repairable. Buy the replacement insurance. The Motorola plan is to charge $900.00 to replace/repair. If the phone drops as little as 18"" it will crack and get worse as time goes till the screen is falling apart. The problem seems to be that the glass is under some stress wrapping around the side. This is an unnecessary place to have the glass. There is no display all the way to the sides."
Great phone at a great price,Kathy,"July 27, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,This is my third conscuetive Motorola phone over the last 1 years.  It works without shortcomings for my  needs at 1/2 the price of other 5G 256 memory phones.  Highly recommended.
"Producto sin ningún problema, genial y hermoso :3",gustavo,"July 24, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"Your browser does not support HTML5 video.
        


   Hermoso, nada que deseo todo ok !"
I purchased the Edge 20 not the 21 model,vicki pearson,"July 24, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"I do love the Edge 2020. It was an upgrade from a MotoG Power.Reviews I saw trashed the speakers,I only have a issue with the phone speaker being lacking but serviceable.Over all for under $1000 I consider it a best buy."
Won't charge after less than a year.,Milo Kovet,"July 24, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,I bought this phone in October of 2020 and it stopped charging in July 2021. It didn't even last a year! I'm done. Going to buy an iPhone AND buying it directly from the company. Amazon only offered returns and support for a measly 3 months on this $530.00 phone!
"Bad Screen, battery, can't hold a charge. No time to play. Don't buy .  Disappointed.",L K,"July 21, 2021",1.0,,,"Returned to a staple. Screen tanked, turned  green.  holdp change of $400 plus on my cc, get second one which of course is ALWAYS refurbished,  now lose 4%battery unused every 20 minutes,  no wireless battery charging.  Seems like they haven't improved much with new models either. Specifically wanted no bloatware phone but moto may as well uber me directly to Apple store which I've avoided.I don't have time for their epic failure and just Google the videos and instructions.  That's how bad the battery and intentional selling of a known screen  issue was when I bought . How many employees gave good reviews because I hate Samsung but Motorola has REALLY failed including rude reps even when I give them a case number. Huge lose."
So far the best moto phone I've invested on.,Sean Smittle,"July 19, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"I like the unique edge and OLED screen, storage space and sound quality with fast processor.so far I have nothing negative to say."
Muy bueno,Mel J Maff,"July 15, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,Muy bueno. Verye good
I am surprised how much I like this phone,Kindle Customer,"July 15, 2021",4.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"I am a 20 year Motorola user who was ready to move on to Samsung after my Z3 because the G-series and Motorola One series seem so blah and underwhelming.  But the latest Samsung phones do not have an SD slot, which was a deal breaker.  The Samsung A series has them, but are more expensive and lower capability. The edge display seems strange since Samsung already moved away from it, and it is easy to see why.  It looks cool, but has very little usefulness.  The rest rest of the phone is surprising good.  The display is crisp, sharp, responsive.  I see reviews about edge discolorations, but I have not seen any issues.  Connectivity through BT, Wi-Fi and 4G is good (I have not switched to a 5G plan and cannot evaluate 5G performance).  The camera is outstanding for this level of phone, and definitely a step up from the Moto Z3 camera, especially the digital zoom. Battery life has been very good, finishing most days with 60% remaining.  One day, I navigated for 3 hours with google maps and still had 20% battery at the end of the day.  My only real disappointment is no Moto Voice anymore.  I always like it better than Google Assistant, but Motorola no longer includes it in their phones."
Doesn't hold a charge,kay,"July 15, 2021",3.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"I have to charge my phone 2x a day.  I replaced my 5 year phone for this.  When I first got it, I didn't have to charge more than every 3 days. The screen rounds the sides and can be anoying.Great camera."
Moto Edge,Kurt,"July 11, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,Excellent phone
Amazing flagship for it's price,Thomas C Ballant,"July 6, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"I came from a Moto Z4 and let me tell you, It's a huge upgrade, the fingerprint sensor in the screen works much faster, the cameras are pretty good (not the best out there but great for its price), the 90Hz screen refresh rate is so smooth that I will never go back to a 60Hz screen and the screen itself is so crisp and runs android 11 like butter (you will have too turn off ""Enable blurs"" in androids developer settings so that the phone does run like butter in Android 11). Highly highly highly recommend this phone"
Don't buy Motorola. Buy apple or Samsung because they have part for replacement.,Tony Bell,"July 6, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"Less than a year, touchscreen not working properly. Customer service sucks. No help at all."
HANDY AND ELEGANT,murtala shawai,"July 6, 2021",5.0,,,"There is nothing to dislike. Motorola has been out of Nigeria's market for long, So I was happy to come across this product online. Also glad that it was unlocked for usage in my country. I love it."
The phone functions well. Battery life is the best.,Desiree case,"July 4, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"After seeing up the phone I realized it was used. It had many wi fi connections, and had been checked into many locations that are not mine. I paid for a new phone and that is what I was expecting the first phone was new but had heating problems. I assumed the phone they replaced it with would be new also."
This is a very nice phone,lynn tassos,"June 29, 2021",5.0,Style: RAZR 5GColor: Polished Graphite,Verified Purchase,"Plenty of speed, battery lasts more than a day (for me), the external display handles a lot of the functionality without the need to open the phone, and it feels solid. The cost is high for this device (new), but I bought a used version for a lot less money, which was actually flawless (no scratches or imperfections).My only issue is the smoothness of the phone making it slippery to hold. I strongly suggest getting a case with some ""texture"" for a better grip."
Awesome phone,James,"June 26, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"I bought this phone went it’s awesome!!! The display when watching a movie is like you’re watching the movie while they are Shooting it. The picture is that clear, battery life and sound is awesome"
Horrible phone,Yona,"June 25, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"Horrible phone. Broke soon after I bought it. Never has so many problems with a phone before. Invest in a better phone, not worth the hassle. Customer service didn't help at all either."
Verizon customers beware!,Amazon Customer,"June 22, 2021",3.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"If you are planning to use this phone with Verizon, be aware that the wifi calling feature is not supported by Verizon and will not work. That said, it has been a very good phone since December of 2020 other than the fingerprint reader. I'm not sure  if this a phone problem or a user problem though."
Avoid avoid avoid,NegativeONE,"June 15, 2021",1.0,,,"Garbage phone. Camera malfunctioned within two weeks. Constant updates. Glad I was just test running the phone, but I feel bad for everyone else who bought it."
Fast responses.,peaches,"June 14, 2021",3.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"Difficult to get used to using. Was accidentally put on a voice response app, which I couldn't undo. Visit to Verizon store three times, so far."
Issue with the speaker after 1 month,Abdulla Abu Zakham,"June 12, 2021",1.0,,,Issue with the speaker after 1 month
An unforgettable shopping,Amazon Customer,"June 2, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"I like all about the Motorola edge, beautiful design, great features, nice touching and affordable price, really a wonderful experience."
Awesome phone!  Definitely recommend!,Adrienne J.,"June 2, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"This is an awesome phone at a great price point (less than $500 ea when we purchased it).My husband recommended it.  I originally planned to purchase a Samsung- loyal customer.  Husband heard about Moto Edge and looked up specks on Amazon which is where we purchased the two phones.  It was cheaper than Samsung S20, better camera (my perk) and faster processor (husband's perk-gamer).It has a sleek design, super cool features (i.e. 3 finger touch for screenshot, quick turn on feature for camera and flashlight, live screen record, screen call feature, enhanced google assistant features) and AWESOME camera.  I love taking pictures and adding cool affects (i.e.blur).Added bonus... there's plenty of YouTube reviews that will show you basic functionality and additional cool features about the phone.  It also comes with the Android 11 update which has some pretty cool tools but you have to be sure to accept the update."
Very nice,Camy cam,"May 29, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,Awesome phone
Long battery life,Marion L. Jenkins,"May 28, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"Love the battery life! So far it is lasting for 2 days on a charge. The speed at which apps load is phenomenal. Only Con is the Bluetooth has connection issues. Other than that, I love it. Never used Motorola before, so I'm pleasently surprised with this phone. Currently using it on Straight Talk. I did have to get a new SIM card, but that's not really that big of a deal. Highly recommend."
